"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","last_modified","latitude","longitude"
"160",27546,119019,"Private room",NA,"Dorchester",181,4.5,3,1,55,NA,"2017-01-14 08:08:11.360230",42.298349,-71.059104
"161",3988018,1480518,"Private room",NA,"Jamaica Plain",196,5,2,1,50,NA,"2017-01-14 08:08:11.343634",42.295528,-71.11929
"162",9894686,8267675,"Private room",NA,"Dorchester",111,4.5,2,1,49,NA,"2017-01-14 08:08:09.758103",42.293162,-71.072729
"163",1178371,6430732,"Private room",NA,"Dorchester",108,5,1,1,50,NA,"2017-01-14 08:08:09.747578",42.294568,-71.066813
"164",4293597,9189449,"Private room",NA,"Allston",116,4.5,1,1,40,NA,"2017-01-14 08:08:04.714189",42.350194,-71.142152
"165",8238311,28820575,"Private room",NA,"Roxbury",116,4.5,2,1,56,NA,"2017-01-14 08:08:45.387679",42.329552,-71.093241
"166",1391215,119019,"Private room",NA,"Dorchester",128,4.5,1,1,45,NA,"2017-01-14 08:08:36.241949",42.298011,-71.058447
"167",47521,119019,"Private room",NA,"Dorchester",252,4.5,3,1,55,NA,"2017-01-14 08:08:36.233800",42.29772,-71.05924
"168",31796,119019,"Private room",NA,"Dorchester",313,4.5,4,1,60,NA,"2017-01-14 08:08:35.530820",42.299773,-71.060476
"169",3945704,20447366,"Private room",NA,"Dorchester",112,5,2,1,50,NA,"2017-01-14 08:08:30.566639",42.325947,-71.059218
"170",4025194,1480518,"Private room",NA,"Jamaica Plain",168,5,2,1,50,NA,"2017-01-14 08:08:22.759247",42.295723,-71.119421
"171",1529321,8139434,"Private room",NA,"Allston",111,4.5,2,1,59,NA,"2017-01-14 08:08:22.190646",42.35528,-71.134499
"172",1321422,6608084,"Private room",NA,"Dorchester",229,5,3,1,32,NA,"2017-01-14 08:07:56.846770",42.30838,-71.046943
"173",1584362,6608084,"Private room",NA,"Dorchester",267,5,3,1,20,NA,"2017-01-14 08:07:56.844632",42.310502,-71.048116
"174",1472481,6608084,"Private room",NA,"Dorchester",270,5,3,1,34,NA,"2017-01-14 08:07:56.832572",42.309774,-71.047153
"175",1472520,6608084,"Private room",NA,"Dorchester",269,5,3,1,34,NA,"2017-01-14 08:07:56.822212",42.308105,-71.046196
"176",3946215,20447366,"Private room",NA,"Dorchester",126,5,1,1,35,NA,"2017-01-14 08:07:54.750934",42.325215,-71.058608
"177",4793787,24658662,"Private room",NA,"Dorchester",122,5,2,1,35,NA,"2017-01-14 08:07:54.231862",42.317513,-71.053864
"178",1332786,6608084,"Private room",NA,"Dorchester",142,5,1,1,27,NA,"2017-01-14 08:07:54.198209",42.309219,-71.045641
"179",6142396,31862615,"Shared room",NA,"East Boston",147,5,2,1,52,NA,"2017-02-16 11:35:50.686655",42.368663,-71.03493
"180",7914359,20582119,"Entire home/apt",NA,"Downtown",101,4.5,6,2,365,NA,"2017-02-16 10:41:13.597618",42.355202,-71.06057
"181",3721095,10477638,"Entire home/apt",NA,"Charlestown",111,5,6,3,375,NA,"2017-02-16 10:41:12.225987",42.381348,-71.061908
"182",3749523,3842205,"Entire home/apt",NA,"Charlestown",130,4.5,7,4,450,NA,"2017-02-16 10:41:12.209894",42.371913,-71.06333
"183",554720,2727109,"Entire home/apt",NA,"Jamaica Plain",122,4.5,6,2,240,NA,"2017-02-16 10:35:18.708032",42.318569,-71.114154
"184",4151979,21541399,"Entire home/apt",NA,"South Boston",108,5,8,4,500,NA,"2017-02-16 10:41:46.789701",42.336144,-71.035531
"185",6134867,20582119,"Entire home/apt",NA,"Downtown",145,4.5,4,2,325,NA,"2017-02-16 10:41:09.620914",42.356239,-71.060427
"186",3528826,10493424,"Entire home/apt",NA,"Back Bay",115,5,4,1,239,NA,"2017-02-16 10:23:34.783854",42.354722,-71.075246
"187",3969526,5408229,"Entire home/apt",NA,"South End",139,5,4,2,255,NA,"2017-02-16 10:22:39.487266",42.337627,-71.073947
"188",3302294,1369968,"Entire home/apt",NA,"Back Bay",161,4.5,2,1,245,NA,"2017-02-16 10:22:39.470747",42.352578,-71.082599
"189",163941,8229,"Entire home/apt",NA,"Roxbury",151,4.5,6,2,225,NA,"2017-02-16 10:25:54.216868",42.329647,-71.095027
"190",508017,2503703,"Entire home/apt",NA,"Beacon Hill",192,4.5,2,1,199,NA,"2017-02-16 10:20:12.637216",42.359145,-71.067851
"191",1692573,8814724,"Entire home/apt",NA,"Jamaica Plain",111,5,4,2,145,NA,"2017-02-16 10:16:52.547933",42.313379,-71.117189
"192",169430,807320,"Entire home/apt",NA,"Roxbury",109,4.5,10,4,150,NA,"2017-02-16 10:16:44.116671",42.321582,-71.090472
"193",3890373,19357187,"Entire home/apt",NA,"Beacon Hill",105,5,4,1,225,NA,"2017-02-16 10:22:53.785798",42.357638,-71.0657
"194",2881388,9410008,"Entire home/apt",NA,"Back Bay",103,5,7,3,225,NA,"2017-02-16 10:22:51.501628",42.347617,-71.08495
